,Name,Longtitude,Latitude,Address,Area,St,ZIP,TEL,Code
0,財團法人台北市中華基督教青年會附設新北市私立板新幼兒園,121.47461229999999,25.0129414,新北市板橋區長安里2鄰板新路27號,板橋區,板新路,220,(02)29637400,011XR6
1,財團法人台北市中華基督教青年會附設臺北市私立永吉幼兒園,121.579676,25.045846,臺北市信義區永吉里1鄰永吉路500號,信義區,永吉路,110,(02)2763-1261,321K01
2,財團法人台北市中華基督教青年會附設臺北市私立永吉幼兒園,121.579676,25.045846,臺北市信義區永吉里1鄰永吉路500號,信義區,永吉路,110,(02)2763-1261,321K01
3,臺北市族中非營利幼兒園（委託社團法人台北市教保人員協會辦理）,121.53884040000001,25.0111994,臺北市大安區學府里1鄰羅斯福路4段113巷13號,大安區,羅斯福路,106,(02)27365861,331K05
4,臺北市族中非營利幼兒園（委託社團法人台北市教保人員協會辦理）,121.53884040000001,25.0111994,臺北市大安區學府里1鄰羅斯福路4段113巷13號,大安區,羅斯福路,106,(02)27365861,331K05
5,財團法人台北市中華基督教衛理公會衛理堂附設台北市私立衛理幼兒園,121.53309809999999,25.0398249,臺北市大安區民輝里2鄰新生南路一段113號,大安區,新生南路,106,(02)27713679,331X15
6,財團法人台北市中華基督教衛理公會衛理堂附設台北市私立衛理幼兒園,121.53309809999999,25.0398249,臺北市大安區民輝里2鄰新生南路一段113號,大安區,新生南路,106,(02)27713679,331X15
7,財團法人台北市基督教浸信會懷恩堂附設臺北市私立懷恩幼兒園,121.533171,25.017788,臺北市大安區大學里4鄰新生南路3段90號,大安區,新生南路,106,(02)23636593,331X36
8,財團法人台北市基督教浸信會懷恩堂附設臺北市私立懷恩幼兒園,121.533171,25.017788,臺北市大安區大學里4鄰新生南路3段90號,大安區,新生南路,106,(02)23636593,331X36
9,臺北市安東非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,121.5410933,25.028242300000002,臺北市大安區龍陣里13鄰瑞安街75號,大安區,瑞安街,106,(02)27067642,331X9C
10,臺北市安東非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,121.5410933,25.028242300000002,臺北市大安區龍陣里13鄰瑞安街75號,大安區,瑞安街,106,(02)27067642,331X9C
