機構名稱,Longitude,Latitude,Address,Area,St
崇信藥局,121.5271509,25.04162388,臺北市中正區齊東街８８號,中正區,齊東街
中心藥局,121.5302985,25.01654511,臺北市中正區汀州路三段１２１號,中正區,汀州路
新德星中西藥局,121.5168723,25.04469998,臺北市中正區信陽街３號１樓,中正區,信陽街
濟仁藥局,121.5286477,25.04085895,臺北市中正區濟南路二段２２號,中正區,濟南路
東鴻藥局,121.5283109,25.0353619,臺北市中正區臨沂街７１巷３號,中正區,臨沂街
祥全藥局,121.5269751,25.0354535,臺北市中正區信義路二段７９巷１５號之８一樓,中正區,信義路
南昌大藥局,121.5173744,25.0308592,臺北市中正區南昌路一段８６號一樓,中正區,南昌路
仁杏藥局,121.5135504,25.02623632,臺北市中正區汀州路一段３８４號,中正區,汀州路
永興藥局,121.5067622,25.02999357,臺北市中正區汀州路一段９２巷２８號,中正區,汀州路
華大藥局,121.5243315,25.02275147,臺北市中正區金門街８號,中正區,金門街
怡誠藥局,121.5237191,25.02236086,臺北市中正區汀州路二段二一二號,中正區,汀州路
安藤健保調劑藥局,121.5183291,25.0295693,臺北市中正區南昌路一段130號、132號,中正區,南昌路
楊藥局,121.530796,25.03984849,臺北市中正區臨沂街２９巷１８號,中正區,臨沂街
和康大藥局,121.5239625,25.04446127,臺北市中正區忠孝東路一段７８號１樓,中正區,忠孝東路
古亭藥局,121.5301226,25.01666815,臺北市中正區汀州路三段１１７號,中正區,汀州路
新獻安藥局,121.5182188,25.03316149,臺北市中正區羅斯福路一段１５號,中正區,羅斯福路
國杏藥師示範藥局,121.5078466,25.0348694,臺北市中正區延平南路１７１巷３號,中正區,延平南路
東華藥局,121.5300303,25.01673271,臺北市中正區汀州路三段一一三號,中正區,汀州路
連雲藥局,121.5301606,25.03436039,臺北市中正區連雲街79號,中正區,連雲街
合泰大藥局,121.512863,25.04220736,臺北市中正區衡陽路26號,中正區,衡陽路
吉星藥局,121.5153922,25.04349251,臺北市中正區襄陽路１９號１樓,中正區,襄陽路
全民藥局,121.5175026,25.0243715,臺北市中正區廈門街八十七號,中正區,廈門街
和平藥局,121.5063729,25.03508199,臺北市中正區中華路二段四十三號,中正區,中華路
丞良藥局,121.5172724,25.0309959,臺北市中正區南昌路一段７８號地下一樓,中正區,南昌路
慶安藥局,121.5234096,25.04061204,臺北市中正區徐州路26號,中正區,徐州路
達昌藥局,121.5116217,25.0269163,臺北市中正區汀州路一段207號,中正區,汀州路
大愛生活藥局,121.5242627,25.02189463,臺北市中正區汀州路二段232號,中正區,汀州路
台醫藥局,121.5165555,25.04416104,臺北市中正區公園路30巷4號,中正區,公園路
佑康大藥局,121.518382,25.02513315,臺北市中正區汀州路二段64號,中正區,汀州路
佳和藥局,121.5168566,25.0444824,臺北市中正區黎明里公園路30號,中正區,公園路
南昌健康人生藥局,121.5187188,25.02935316,臺北市中正區南昌路1段153號,中正區,南昌路
中英大藥局,121.5111801,25.04299801,臺北市中正區永綏街6號,中正區,永綏街
琪基藥局,121.5254898,25.03895232,臺北市中正區杭州南路1段89號,中正區,杭州南路
正康藥局,121.5142319,25.04507378,臺北市中正區漢口街1段22號,中正區,漢口街
建祥武昌藥局,121.512123,25.04415718,臺北市中正區武昌街一段29號1樓,中正區,武昌街
進達健保藥局,121.5096102,25.02490113,臺北市中正區中華路二段453號,中正區,中華路
活力健康藥妝藥局,121.5061962,25.02794934,臺北市中正區中華路二段315巷1號,中正區,中華路
信康藥局,121.5185922,25.0295324,臺北市中正區南昌路一段143號,中正區,南昌路
新三醫藥局,121.5305047,25.01640096,臺北市中正區汀州路三段125號,中正區,汀州路
保德中華藥局,121.5042504,25.03101283,臺北市中正區中華路二段159號,中正區,中華路
71恩典藥局,121.5263958,25.034666,臺北市中正區信義路二段71號,中正區,信義路
豐仁藥局,121.5109466,25.02735594,臺北市中正區寧波西街161號,中正區,寧波西街
立赫健保藥局,121.5326126,25.04322641,臺北市中正區新生南路一段16之2號,中正區,新生南路
汀州健康人生藥局,121.5336536,25.01420033,臺北市中正區汀州路三段211號,中正區,汀州路
宏越藥局,121.5061211,25.02812712,臺北市中正區中華路二段313巷4號,中正區,中華路
大盛藥局,121.5105356,25.04645058,臺北市中正區中華路一段21巷16號,中正區,中華路
北車維康藥局,121.5181827,25.04491412,臺北市中正區青島西路7號,中正區,青島西路
躍獅南寧藥局,121.5178122,25.03057386,臺北市中正區南昌路一段81號,中正區,南昌路
和眾藥局,121.5180284,25.04582575,臺北市中正區忠孝西路一段6號,中正區,忠孝西路
中力藥局,121.5155382,25.04349556,臺北市中正區襄陽路13之5號、15號,中正區,襄陽路
躍獅南門藥局,121.5073633,25.03483495,臺北市中正區中華路二段39巷10號,中正區,中華路
康呈安藥局,121.5219845,25.02403149,臺北市中正區汀州路二段187號,中正區,汀州路
躍獅東門藥局,121.5273018,25.0353768,臺北市中正區金山南路一段108之1號,中正區,金山南路
桐心藥局,121.5202152,25.03175306,臺北市中正區金華街18之6號1樓,中正區,金華街
逸菁中西特約藥局,121.5137707,25.04223031,臺北市中正區衡陽路6號8樓之1,中正區,衡陽路
珍忻藥局,121.517452,25.03106799,臺北市中正區南昌路一段65號,中正區,南昌路
博昱連雲藥局,121.5299712,25.03454651,臺北市中正區連雲街72號、72之1號,中正區,連雲街
汀州藥局,121.5111792,25.02704427,臺北市中正區汀州路一段187號、189號、191號,中正區,汀州路
南和藥局,121.5130186,25.02483141,臺北市中正區泉州街１４１號,中正區,泉州街
日生大藥局,121.5076476,25.03025745,臺北市中正區汀州路一段５３號１樓,中正區,汀州路
三元藥局,121.5108721,25.02800107,臺北市中正區三元街１５８號,中正區,三元街
大安藥局,121.5325521,25.03968979,臺北市中正區新生南路一段一○六號,中正區,新生南路
上海聯合藥局,121.5126292,25.04220631,臺北市中正區衡陽路３２號１樓,中正區,衡陽路
民生藥局,121.5305404,25.040599,臺北市中正區濟南路二段45之1號,中正區,濟南路
慈仁藥局,121.5101298,25.05832209,臺北市大同區歸綏街２６１號１樓,大同區,歸綏街
新聖安藥局,121.5142818,25.06583938,臺北市大同區昌吉街130號,大同區,昌吉街
三銘大藥局,121.509909,25.05580837,臺北市大同區迪化街一段80號,大同區,迪化街
弘仁全民藥局,121.5138178,25.05824015,臺北市大同區重慶北路二段１４５號,大同區,重慶北路
建祥藥局,121.5150437,25.05485023,臺北市大同區寧夏路17號、17-1號,大同區,寧夏路
正利民藥局,121.5110353,25.06805992,臺北市大同區延平北路三段105號,大同區,延平北路
華南藥局,121.5116909,25.07036682,臺北市大同區迪化街二段二一五號之一,大同區,迪化街
德葳藥局,121.5115042,25.05973935,臺北市大同區延平北路二段二一一號一樓,大同區,延平北路
新介春藥局,121.5117089,25.07201415,臺北市大同區酒泉街１６６號,大同區,酒泉街
惠眾藥局,121.5151775,25.0746185,臺北市大同區重慶北路三段三三五巷四十三號,大同區,重慶北路
柯藥局,121.5143673,25.0745193,臺北市大同區重慶北路三段３３５巷６號,大同區,重慶北路
時春藥局,121.5191148,25.05355692,臺北市大同區赤峰街４號,大同區,赤峰街
裕仁藥局,121.5114585,25.07068401,臺北市大同區迪化街二段270之1號,大同區,迪化街
健康藥局,121.5151234,25.05512088,臺北市大同區寧夏路２３號之４,大同區,寧夏路
泰元藥局,121.5146192,25.0730297,臺北市大同區哈密街九十一號,大同區,哈密街
正中藥局,121.5142206,25.0687427,臺北市大同區民族西路二一三號,大同區,民族西路
保慶藥局,121.5129438,25.05925826,臺北市大同區保安街21號,大同區,保安街
快安藥局,121.5201408,25.05285019,臺北市大同區南京西路282、284號,大同區,南京西路
得意藥師藥局,121.5114674,25.0602889,臺北市大同區延平北路二段229號,大同區,延平北路
健康美藥局,121.515522,25.06872156,臺北市大同區民族西路165號,大同區,民族西路
宏泰藥師藥局,121.5144769,25.07213122,臺北市大同區酒泉街131號,大同區,酒泉街
儷安藥局,121.5158324,25.06065271,臺北市大同區錦西街53巷16號,大同區,錦西街
富康藥局,121.5114593,25.05733357,臺北市大同區延平北路二段126號,大同區,延平北路
佳禾藥局,121.5158326,25.07060943,臺北市大同區大龍街262號,大同區,大龍街
躍獅雙蓮藥局,121.5146778,25.0607761,臺北市大同區涼州街4號,大同區,涼州街
延平新聖安藥局,121.5112006,25.06474679,臺北市大同區延平北路三段35號,大同區,延平北路
德芳藥局,121.5193694,25.05761803,臺北市大同區民生西路91號,大同區,民生西路
旭豐藥局,121.5151208,25.06582371,臺北市大同區昌吉街96號,大同區,昌吉街
酒泉春天藥局,121.514555,25.07193435,臺北市大同區酒泉街94號、94號2樓,大同區,酒泉街
中興聯合藥局,121.5107883,25.05035366,臺北市大同區鄭州路127號(實際營業地址：1樓),大同區,鄭州路
躍獅遠東藥局,121.5116392,25.05750705,臺北市大同區延平北路二段131號(實際營業地址：1樓),大同區,延平北路
大同民生藥局,121.5191281,25.05734047,臺北市大同區民生西路128號(實際營業:一層、二層)、130號(實際營業:一層、二層),大同區,民生西路
躍獅文昌藥局,121.519676,25.05740036,臺北市大同區民生西路108號(實際營業:一層),大同區,民生西路
春鄰藥局,121.5197322,25.05036027,臺北市大同區長安西路35號(實際營業樓層:一層),大同區,長安西路
三省大藥局,121.510236,25.06926528,臺北市大同區民族西路３０３巷１９號１樓,大同區,民族西路
東東藥局,121.5407881,25.05476923,臺北市中山區長春路257之2號,中山區,長春路
聖晨藥局,121.5321651,25.06471241,臺北市中山區農安街140號,中山區,農安街
錦州春天生活藥局,121.532103,25.06039203,臺北市中山區錦州街213號、213號2樓,中山區,錦州街
杏一龍錦藥局,121.5408299,25.05973159,臺北市中山區龍江路279號,中山區,龍江路
中華藥局,121.5265386,25.06498187,臺北市中山區農安街45之1號,中山區,農安街
農安盛康藥局,121.5358091,25.06476458,臺北市中山區農安街267號,中山區,農安街
佳頤中西藥局,121.5323456,25.05495168,臺北市中山區長春路147之1號,中山區,長春路
康銓藥局,121.5346414,25.06456845,臺北市中山區農安街174號,中山區,農安街
禾全藥局,121.5408713,25.06532285,臺北市中山區龍江路332號,中山區,龍江路
安悅藥局,121.5303558,25.05970358,臺北市中山區吉林路189號,中山區,吉林路
十二願藥局,121.5255679,25.05588048,臺北市中山區林森北路309號,中山區,林森北路
興耀生活藥局,121.5256823,25.05943216,臺北市中山區林森北路405號(實際營業樓層:一層),中山區,林森北路
禾康藥局,121.561177,25.0812457,臺北市中山區植福路296號(實際營業地址:1層),中山區,植福路
大樹龍江藥局,121.5406119,25.05888538,臺北市中山區龍江路242號,中山區,龍江路
視美藥局,121.5423043,25.06160802,臺北市中山區民權東路三段６０巷８號１樓,中山區,民權東路
百源堂大藥局,121.5322474,25.04857182,臺北市中山區長安東路二段四十七之五號一樓,中山區,長安東路
名祥藥局,121.540284,25.05504853,臺北市中山區龍江路１６６號,中山區,龍江路
家進藥局,121.5393116,25.0608754,臺北市中山區合江街１３１號,中山區,合江街
順泰藥局,121.5347502,25.06025322,臺北市中山區錦州街266號1樓,中山區,錦州街
滿順藥局,121.5346549,25.05144816,臺北市中山區伊通街54號1樓,中山區,伊通街
優豐藥局,121.524223,25.05793492,臺北市中山區民生東路一段三十二號,中山區,民生東路
泰興藥局,121.5263361,25.05613101,臺北市中山區新生北路二段６２巷３２號,中山區,新生北路
阿里藥局,121.5341938,25.06039343,臺北市中山區錦州街251號1樓,中山區,錦州街
仁?藥局,121.5391484,25.05926518,臺北市中山區合江街１２０號,中山區,合江街
金福星西藥局,121.5392792,25.05895968,臺北市中山區合江街79號,中山區,合江街
良佑藥局,121.5215666,25.06366941,臺北市中山區撫順街６之２號１樓,中山區,撫順街
第一藥局,121.5394497,25.05510441,臺北市中山區合江街１７巷６號,中山區,合江街
立大藥局,121.5295776,25.05598437,臺北市中山區吉林路144巷14號,中山區,吉林路
上安藥局,121.5234128,25.05076976,臺北市中山區中山北路一段１０５巷13-2號一樓,中山區,中山北路
武璋大藥局,121.5348935,25.0530962,臺北市中山區伊通街９７號之２,中山區,伊通街
長青藥局,121.5418871,25.05620708,臺北市中山區興安街５５號１樓,中山區,興安街
晏晟藥局,121.5258586,25.0670343,臺北市中山區林森北路６２５號,中山區,林森北路
中泰藥局,121.5428716,25.05471528,臺北市中山區長春路３１１號,中山區,長春路
美日藥局,121.5232742,25.05136434,臺北市中山區天津街六十六號一樓,中山區,天津街
中興藥局,121.5427089,25.04818087,臺北市中山區長安東路2段226號,中山區,長安東路
王中興藥局,121.5408259,25.05955642,臺北市中山區龍江路273號,中山區,龍江路
康廷藥局,121.5487899,25.08253091,臺北市中山區北安路611號,中山區,北安路
大信藥局,121.5255415,25.05169934,臺北市中山區林森北路159巷6號,中山區,林森北路
承恩藥局,121.5269316,25.05036026,臺北市中山區林森北路119巷55號1樓,中山區,林森北路
定好大藥局,121.5297578,25.06597164,臺北市中山區農安街１２５巷３４號１樓,中山區,農安街
明美藥局,121.5265867,25.0550218,臺北市中山區長春路６９號１樓,中山區,長春路
長生藥局,121.5313135,25.06206744,臺北市中山區松江路３６２巷５５號１樓,中山區,松江路
能康藥局,121.5256293,25.05481774,臺北市中山區長春路４６號,中山區,長春路
